age,income,education_years,job_type,hours_per_week,satisfaction_score,churn
25,32000,12,retail,38,6.2,0
34,55000,16,tech,45,7.8,0
28,41000,14,healthcare,40,5.5,1
52,87000,18,finance,50,8.1,0
23,28000,12,retail,35,4.9,1
45,72000,16,tech,42,7.2,0
31,48000,14,education,38,6.8,0
29,39000,12,retail,40,5.1,1
38,61000,16,healthcare,44,7.5,0
47,95000,20,finance,55,8.9,0
22,27000,12,retail,32,4.5,1
35,58000,16,tech,46,7.3,0
41,69000,18,finance,48,8.0,0
27,36000,14,education,38,6.1,0
33,52000,16,healthcare,42,7.0,0
56,102000,20,finance,52,8.7,0
24,30000,12,retail,36,5.0,1
39,64000,16,tech,44,7.6,0
43,78000,18,finance,50,8.3,0
26,34000,12,retail,37,5.3,1
30,46000,14,healthcare,40,6.5,0
48,88000,18,tech,48,8.2,0
21,25000,10,retail,30,4.2,1
36,60000,16,education,40,7.1,0
44,82000,18,finance,52,8.6,0
32,50000,16,tech,43,7.4,0
37,62000,16,healthcare,44,7.2,0
55,98000,20,finance,54,8.8,0
23,29000,12,retail,34,4.8,1
40,67000,16,tech,45,7.7,0
